"code","nom_fr","nom_latin","zone","type","commerciale"
"ORR","Orme rouge","Ulmus rubra","tempérée","Feuillus",TRUE
"ORS","Orme de Sibérie*","Ulmus pumila","boréale","Feuillus",FALSE
"ORT","Orme de Thomas (liège)","Ulmus thomasii","tempérée","Feuillus",TRUE
"OSV","Ostryer de Virginie","Ostrya virginiana","tempérée","Feuillus",TRUE
"PAQ","Parthénocisse à cinq folioles",NA,NA,NA,NA
"PEB","Peuplier baumier","Populus balsamifera","tempérée","Feuillus",TRUE
"PED","Peuplier deltoïde","Populus deltoides","tempérée","Feuillus",TRUE
"PEE","Peuplier d'Italie (noir var. Lombardie)*","Populus nigra var. italica","tempérée","Feuillus",TRUE
"PEG","Peuplier à grandes dent","Populus grandidentata","tempérée","Feuillus",TRUE
"PEH","Peuplier hybride","Populus sp X P. sp.","tempérée","Feuillus",TRUE
"PEL","Peuplier blanc*","Populus alba","tempérée","Feuillus",TRUE
"PET","Peuplier faux tremble","Populus tremuloides","tempérée","Feuillus",TRUE
"PEU","Peuplier européen",NA,NA,NA,NA
"PHO","Physocarpe à feuilles d'obier",NA,NA,NA,NA
"PIB","pin blanc","pinus strobus","tempérée","Resineux",TRUE
"PID","pin rigide","pinus rigida","tempérée","Resineux",TRUE
"PIG","pin gris","pinus banksiana","boréale","Resineux",TRUE
"PIR","pin rouge","pinus resinosa","tempérée","Resineux",TRUE
"PIS","pin sylvestre","pinus sylvestris","tempérée","Resineux",TRUE
"PLO","Platane occidental**","Platanus occidentalis","tempérée","Feuillus",TRUE
"POF","Potentilla fruticosa",NA,NA,NA,NA
"PRN","Prunier noir**","Prunus nigra","tempérée","Feuillus",FALSE
"PRP","Cerisier de Pennsylvanie","Prunus pensylvanica","tempérée","Feuillus",FALSE
"PRU","pruche de l'est","tsuga canadensis","tempérée","Resineux",TRUE
"PRV","Cerisier de Virginie","Prunus virginiana","tempérée","Feuillus",FALSE
"PYB","Aronie à feuilles d'arbousier",NA,NA,NA,NA
"RES","Résineux inconnu",NA,NA,NA,NA
"RHA","Nerprun à feuilles d'aulne",NA,NA,NA,NA
"RHF","Nerprun bourdaine",NA,NA,NA,NA
"RHM","Nerprun cathartique",NA,NA,NA,NA
"RHR","Herbe a puce",NA,NA,NA,NA
"RHS","Nerprun sp.","Rhamnus sp. Espèces possibles R. frangula (Frangula alnus) R. cathartica","tempérée","Feuillus",FALSE
"RHT","Sumac vinaigrier","Rhus typhina","tempérée","Feuillus",FALSE
"RIA","Gadellier américain",NA,NA,NA,NA
"RIB","Gadellier ou groseillier",NA,NA,NA,NA
"RIC","Groseillier des chiens",NA,NA,NA,NA
"RIG","Gadellier glanduleux",NA,NA,NA,NA
"RIH","Groseillier hérissé",NA,NA,NA,NA
"RIL","Gadellier lacustre",NA,NA,NA,NA
"RIT","Gadellier amer",NA,NA,NA,NA
"ROA","Rosier aciculaire",NA,NA,NA,NA
"ROP","Robinier faux-acacia*","Robinia pseudoacacia","tempérée","Feuillus",TRUE
"ROS","Rosier",NA,NA,NA,NA
"RUA","Ronce des Alléghanys",NA,NA,NA,NA
"RUD","Ronce odorante",NA,NA,NA,NA
"RUH","Ronce hispide",NA,NA,NA,NA
"RUI","Framboisier rouge",NA,NA,NA,NA
"RUO","Framboisier noir",NA,NA,NA,NA
"RUS","Rubus sp.",NA,NA,NA,NA
"SAB","sapin baumier","abies balsamea","boréale","Resineux",TRUE
"SAC","Sureau blanc",NA,NA,NA,NA
"SAD","Saule discolore",NA,NA,NA,NA
"SAH","Saule humble",NA,NA,NA,NA
"SAK","Saule de Bebb",NA,NA,NA,NA
"SAL","Saules","Salix sp. Nombreuses espèces possibles","boréale","Feuillus",FALSE
"SAP","Sureau pubescent",NA,NA,NA,NA
"SHP","Shépherdie du Canada",NA,NA,NA,NA
"SOA","Sorbier d'Amérique","Sorbus americana","tempérée","Feuillus",FALSE
"SOD","Sorbier des montagnes","Sorbus decora","tempérée","Feuillus",FALSE
"SOU","Sorbier des oiseleurs*","Sorbus aucuparia","tempérée","Feuillus",FALSE
"SPA","Spirée",NA,NA,NA,NA
"SPL","Spirée à larges feuilles",NA,NA,NA,NA
"SPT","Spirée tomenteuse",NA,NA,NA,NA
"SPY","Spirée blanche",NA,NA,NA,NA
"SXL","Saule brillant",NA,NA,NA,NA
"SXN","Saule noir",NA,NA,NA,NA
"SYA","Symphorine blanche",NA,NA,NA,NA
"SYL","Lilas commun",NA,NA,NA,NA
"SYV","Lilas commun*","Syringa vulgaris","tempérée","Feuillus",FALSE
"TAC","If du Canada",NA,NA,NA,NA
"THO","thuya occidental","thuya occidentalis","tempérée","Resineux",TRUE
"TIL","Tilleul d'Amérique","Tilia americana","tempérée","Feuillus",TRUE
"TOV","Sumac à vernis**","Toxicodendron vernis","tempérée","Feuillus",FALSE
"VIB","Viorne flexible**","Viburnum lentago","tempérée","Feuillus",FALSE
"VIC","Viorne cassinoïdes",NA,NA,NA,NA
"VIE","Viorne comestible",NA,NA,NA,NA
"VIF","Viorne à feuilles d'érables",NA,NA,NA,NA
"VIL","Viorne bois-d'orignal",NA,NA,NA,NA
"VIR","Vigne des rivages",NA,NA,NA,NA
"VIT","Viorne trilobée",NA,NA,NA,NA
"ZAA","Clavalier d'Amérique",NA,NA,NA,NA
